cohort,tbp_total,tbp_flexible_count,tbp_rigid_count,tbp_flexible_fraction,air_expected_flexible_fraction,tbp_minus_air_expected_fraction,air_missing_length_count
scaffold::EVH1domain,160,129,31,0.80625,0.21392972021112264,0.5923202797888774,0
scaffold::Ibody,61,58,3,0.9508196721311475,0.23123452060850516,0.7195851515226424,0
scaffold::adnectin,918,749,169,0.8159041394335512,0.266847105134662,0.5490570342988892,0
scaffold::affimer,100,87,13,0.87,0.2654256245627636,0.6045743754372364,0
scaffold::centyrin,127,90,37,0.7086614173228346,0.3211266021073361,0.3875348152154985,0
scaffold::cyclotide,383,247,136,0.6449086161879896,0.29496811671998135,0.3499404994680082,0
scaffold::knottin,319,143,176,0.4482758620689655,0.2731537038242959,0.17512215824466965,0
scaffold::kunitz,231,150,81,0.6493506493506493,0.3778202520857826,0.2715303972648667,0
scaffold::obody,571,541,30,0.9474605954465849,0.22209640203520625,0.7253641934113786,0
