analysis,metric,n_binding,n_nonbinding,n_proteins,n_scaffold_families,unadjusted_delta_mean_binding_minus_nonbinding,binding_coefficient,standard_error,ci95_low,ci95_high,p_value,model_status,model_note
OLS_family_fixed_effects_cluster_robust_by_protein,avg_rsa,987,1286,1198,6,-0.04742492049442126,-0.0369562697120247,0.004938061947111498,-0.04663469328179097,-0.027277846142258436,7.211462092571449e-14,ok,Scaffold fixed effects with protein-level cluster-robust standard errors
GEE_gaussian_exchangeable_clustered_by_protein,avg_rsa,987,1286,1198,6,-0.04742492049442126,-0.03667287857228766,0.004940343842796551,-0.04635577457541311,-0.02698998256916221,1.143732154398665e-13,ok,Gaussian GEE with exchangeable within-protein correlation and scaffold fixed effects
MixedLM_family_fixed_effects_random_intercept_by_protein,avg_rsa,987,1286,1198,6,-0.04742492049442126,,,,,,failed,MixedLM failed: LinAlgError: Singular matrix
OLS_family_fixed_effects_cluster_robust_by_protein,loop_constraint_score_total_norm,987,1286,1198,6,-0.5342165161579544,0.012632846318718966,0.06351118400605499,-0.11184678694864511,0.13711247958608305,0.842335158188924,ok,Scaffold fixed effects with protein-level cluster-robust standard errors
GEE_gaussian_exchangeable_clustered_by_protein,loop_constraint_score_total_norm,987,1286,1198,6,-0.5342165161579544,0.10957759000365276,0.053234874515034336,0.005239153232676291,0.21391602677462923,0.039553689899176084,ok,Gaussian GEE with exchangeable within-protein correlation and scaffold fixed effects
MixedLM_family_fixed_effects_random_intercept_by_protein,loop_constraint_score_total_norm,987,1286,1198,6,-0.5342165161579544,0.14685314904502245,0.051962794796728246,0.04500794270738977,0.2486983553826551,0.004711545291045823,ok,Protein-level random intercept with scaffold fixed effects
OLS_family_fixed_effects_cluster_robust_by_protein,itsflex_score,966,1268,1177,6,0.011162686736902905,-0.00756269118577454,0.0082827879878647,-0.02379665733357033,0.008671274962021252,0.3612104284172867,ok,Scaffold fixed effects with protein-level cluster-robust standard errors
GEE_gaussian_exchangeable_clustered_by_protein,itsflex_score,966,1268,1177,6,0.011162686736902905,-0.004573895554645522,0.008432930011399423,-0.02110213466113534,0.011954343551844295,0.5875532446358821,ok,Gaussian GEE with exchangeable within-protein correlation and scaffold fixed effects
MixedLM_family_fixed_effects_random_intercept_by_protein,itsflex_score,966,1268,1177,6,0.011162686736902905,,,,,,failed,MixedLM failed: LinAlgError: Singular matrix
OLS_family_fixed_effects_cluster_robust_by_protein,flexscore_ensemble_diversity,937,1235,1147,6,-0.39744325113744905,0.183012147567216,0.09969879180557745,-0.012393893673872863,0.3784181888083049,0.0664093475872212,ok,Scaffold fixed effects with protein-level cluster-robust standard errors
GEE_gaussian_exchangeable_clustered_by_protein,flexscore_ensemble_diversity,937,1235,1147,6,-0.39744325113744905,0.10766698135031666,0.06013720727340578,-0.01019977903637885,0.22553374173701218,0.07339677517006286,ok,Gaussian GEE with exchangeable within-protein correlation and scaffold fixed effects
MixedLM_family_fixed_effects_random_intercept_by_protein,flexscore_ensemble_diversity,937,1235,1147,6,-0.39744325113744905,0.08434922188762195,0.05495792535714127,-0.023366332477415527,0.19206477625265944,0.12483386571601424,ok,Protein-level random intercept with scaffold fixed effects
