target_concept_id,gene_name,protein_name
TGT_0001,,
TGT_0002,TGFB2,
TGT_0003,histone H3,
TGT_0004,factor VIIa/TF complex,
TGT_0005,factor Xa,
TGT_0006,CD28,
TGT_0007,VEGF,
TGT_0008,TPO-R,
TGT_0009,CD20,
TGT_0010,IL-6,
TGT_0011,IL6,
TGT_0012,IGE,
TGT_0013,KEAP1,
TGT_0014,PLGF,
TGT_0015,melanocortin receptors,
TGT_0016,TNF,
TGT_0017,plasma kallikrein,
TGT_0018,H3,
TGT_0019,MYOSTATIN,
TGT_0020,INTEGRIN,
TGT_0021,HNE,
TGT_0022,SCN9A,P83303
TGT_0023,KDR,
TGT_0024,TNFRSF10B,
TGT_0025,GAS6,
TGT_0026,VEGF-A,
TGT_0027,integrin alpha-v beta-3,
TGT_0028,αvβ3 integrin,
TGT_0029,"integrin αvβ3, αvβ5, α5β1",
TGT_0030,"Integrin alpha-v beta-3, alpha-v beta-5, alpha-5 beta-1",
TGT_0031,integrin alphaVbeta3,
TGT_0032,LRP6,
TGT_0033,Integrin αvβ6,
TGT_0034,integrin alpha v beta 3,
TGT_0035,ITGA2B,
TGT_0036,OPRK1,P41145
TGT_0037,,P00760
TGT_0038,CD25,
TGT_0039,FN1,
TGT_0040,GARA,
TGT_0041,PTHR1,
TGT_0042,PTH1R,
TGT_0043,ALB,
TGT_0044,CD4,
TGT_0045,PCSK9,
TGT_0046,CD137,
TGT_0047,PD-L1,
TGT_0048,EGFR,P00533-1
TGT_0049,EGFR,P00533
TGT_0050,EGFR,
TGT_0051,C-MET,P08581
TGT_0052,PSMA,
TGT_0053,CD8A,P01732
TGT_0054,TNFRSF9,Q07011
TGT_0055,CD8A,
TGT_0056,FcγRIIa,
TGT_0057,IL-17A,
TGT_0058,FCGR2A,
TGT_0059,C-MET,
TGT_0060,CD71,
TGT_0061,AMA1,
TGT_0062,CXCR4,
TGT_0063,ET1,
TGT_0064,BCR::ABL1,
TGT_0065,CRT,
TGT_0066,MGLUR5,
TGT_0067,BCMA,
TGT_0068,GP41,
TGT_0069,PLG,
TGT_0070,,P03952
TGT_0071,PLASMIN,
TGT_0072,FCGRT,
TGT_0073,ALB,P02768
TGT_0074,CD209,
TGT_0075,IκBα,
TGT_0076,EPCAM,
TGT_0077,"CD71, EpCAM, Albumin",
TGT_0078,CMET,
TGT_0079,MET,
TGT_0080,MCP-1,
TGT_0081,GFP,
TGT_0082,TNF-ALPHA,
TGT_0083,HMGB1,
TGT_0084,TNF-α,
TGT_0085,TRYPSIN,
TGT_0086,KV1.1,
TGT_0087,CTLA4,
TGT_0088,Histone H3,
TGT_0089,CELD,
TGT_0090,FVIIA,
TGT_0091,Factor VIIa,
TGT_0092,F3 / F7,
TGT_0093,EPHA2,
TGT_0094,MAP2K5,Q13163
TGT_0095,SOD1,
TGT_0096,NPC1,
TGT_0097,ICAM-2,P13598
TGT_0098,KRAS,
TGT_0099,APP,P05067
TGT_0100,SSTR1,P30872
TGT_0101,Yeast small ubiquitin-related modifier (ySUMO),
TGT_0102,ICMT,D6WJ77
TGT_0103,FGFR1,P11362
TGT_0104,KLB,Q86Z14
TGT_0105,COL2A1,P02458
TGT_0106,Human dermal microvascular endothelial cell (HMVEC),
TGT_0107,Calcitonin receptor,P30988
TGT_0108,GP,Q05320
TGT_0109,ABCB4,P21440
TGT_0110,KLK3,P07288
TGT_0111,S,P0DTC2
TGT_0112,,Q38CP2
TGT_0113,ST14,Q9Y5Y6
TGT_0114,,P02879
TGT_0115,ENTB,P01552
TGT_0116,,A0A1B6QPI8
TGT_0117,VWF,P04275
TGT_0118,ENV,P04578
TGT_0119,CASPR4,Q8WX98
TGT_0120,MLKL,Q8NB16
TGT_0121,ABL1,P00519
TGT_0122,MPL,P40238
TGT_0123,MDM2,Q00987
TGT_0124,CTBP2,P56546
TGT_0125,MALE,P0AEX9
TGT_0126,BAMA,P0A940
TGT_0127,S,A0A6M5KCF0
TGT_0128,SUMO4,P0AEX9
TGT_0129,SUMO4,Q6EEV6
TGT_0130,SUMO1,P63165
TGT_0131,AURKA,O14965
TGT_0132,KRAS,P01116
TGT_0133,BCR,P11274
TGT_0134,WDR5,P61964
TGT_0135,CRSAS-6,A9CQL4
TGT_0136,NRP1,O14786
TGT_0137,IL17A,Q62386
TGT_0138,TNF,Q6TDG3
TGT_0139,MYC,P01106
TGT_0140,CXCR4,P61073
TGT_0141,Pb peptide,
TGT_0142,Pa peptide,
TGT_0143,PROTHROMBIN,P00734
TGT_0144,GFP,P42212
TGT_0145,KDR,P35968
TGT_0146,MCHERRY,A0A4D6FVK6
TGT_0147,NR1I2,O75469
TGT_0148,BIRC5,O15392
TGT_0149,Cluster of differentiation 69 (CD69),Q07108
TGT_0150,IL23A,Q9NPF7
TGT_0151,BTUF,P37028
TGT_0152,Staphylococcus aureus leukocidin,
TGT_0153,LACY,P02920
TGT_0154,NF1,P21359
TGT_0155,HIF1A,Q16665
TGT_0156,CRY1AC,P05068
TGT_0157,,P0C7B7
TGT_0158,CFTR,Q20BH0
TGT_0159,SLC17A7,Q62634
TGT_0160,GSN,P06396
TGT_0161,DTPA,P77304
TGT_0162,AGTR1,P30556
TGT_0163,ADRB2,P07550
TGT_0164,PGLK,A0A6H6MLI6
TGT_0165,CD70,P32970
TGT_0166,VEGFA,P15692
TGT_0167,S,A0A140AYZ5
TGT_0168,GPC3,P51654
TGT_0169,,A8CLT2
TGT_0170,SLC29A1,Q99808
TGT_0171,KDELR2,Q5ZKX9
TGT_0172,SLC6A9,P48067
TGT_0173,,P01484
TGT_0174,CTNNB1,P35222
TGT_0175,,A0A059X2Z2
TGT_0176,ESR1,P03372
TGT_0177,ADGRG1,Q9Y653
TGT_0178,Atrial natriuretic peptide receptor 1,P16066
TGT_0179,Somatostatin receptor type 3;Somatostatin receptor type 2;Somatostatin receptor type 1;Somatostatin receptor type 5;Somatostatin receptor type 4,P31391;P32745;P30874;P30872;P35346
TGT_0180,,A0A7X9WCG7
TGT_0181,CYA,P0DKX7
TGT_0182,ADGRG1,Q8K209
TGT_0183,SRC,P12931
TGT_0184,LYN,P07948
TGT_0185,KEAP1,Q14145
TGT_0186,MAPK14,Q16539
TGT_0187,EPHA2,P29317
TGT_0188,SrcB subgroup Hck-Src-homology 2 (Hck SH2),
TGT_0189,PRDM14,Q9GZV8
TGT_0190,STAT3,P40763
TGT_0191,SrcA subgroup Src-Src-homology 2 (Src SH2),
TGT_0192,SrcA subgroup Yes-Src-homology 2 (Yes SH2),
TGT_0193,SrcA subgroup Fgr-Src-homology 2 (Fgr SH2),
TGT_0194,SrcB subgroup Lyn-Src-homology 2 (Lyn SH2),
TGT_0195,SrcB subgroup Lck-Src-homology 2 (Lck SH2),
TGT_0196,Carboxypeptidase A1,P15085
